jeu_200_25_8.txt_5_currentSA	jeu_200_25_8.txt_5_bestSA	jeu_200_25_8.txt_5_currentTS	jeu_200_25_8.txt_5_bestTS	jeu_200_25_8.txt_5_currentGrasp	jeu_200_25_8.txt_5_bestGrasp	jeu_200_25_8.txt_5_currentIG	jeu_200_25_8.txt_5_bestIG	
366	-299.84	-109.84	52167	52711	68852	69499	71650	71650	
367	-299.84	-109.84	52167	52711	69042	69499	71650	71650	
368	-299.84	-109.84	52167	52711	69427	69499	71650	71650	
369	-299.84	-109.84	52167	52711	69747	69747	71650	71650	
370	-284.84	-109.84	52167	52711	69747	69747	71650	71650	
371	-284.84	-109.84	52167	52711	69747	69747	71650	71650	
372	-284.84	-109.84	52167	52711	37	69747	71650	71650	
373	-284.84	-109.84	52167	52711	112	69747	71650	71650	
374	-284.84	-109.84	52167	52711	181	69747	71650	71650	
375	-284.84	-109.84	52167	52711	317	69747	71650	71650	
376	-284.84	-109.84	52167	52711	417	69747	71650	71650	
377	-284.84	-109.84	52167	52711	585	69747	71650	71650	
378	-284.84	-109.84	52167	52711	670	69747	71650	71650	
379	-234.84	-109.84	52167	52711	866	69747	71650	71650	
380	-234.84	-109.84	52167	52711	1055	69747	71650	71650	
381	-282.84	-109.84	52167	52711	1257	69747	71650	71650	
382	-282.84	-109.84	52167	52711	1341	69747	71650	71650	
383	-282.84	-109.84	52167	52711	1444	69747	71650	71650	
384	-282.84	-109.84	52167	52711	1739	69747	71650	71650	
385	-235.84	-109.84	52167	52711	2095	69747	71650	71650	
386	-235.84	-109.84	52167	52711	2339	69747	71650	71650	
387	-235.84	-109.84	52167	52711	2541	69747	71650	71650	
388	-224.84	-109.84	52167	52711	2728	69747	71650	71650	
389	-224.84	-109.84	52167	52711	2943	69747	71650	71650	
390	-208.84	-109.84	52167	52711	3348	69747	71650	71650	
391	-208.84	-109.84	52167	52711	3684	69747	71650	71650	
392	-208.84	-109.84	52167	52711	4325	69747	71650	71650	
393	-208.84	-109.84	52167	52711	4803	69747	71650	71650	
394	-168.84	-109.84	52167	52711	5403	69747	71650	71650	
395	-168.84	-109.84	52167	52711	5652	69747	71650	71650	
396	-178.84	-109.84	52167	52711	6107	69747	71650	71650	
397	-168.84	-109.84	52167	52711	6390	69747	71650	71650	
398	-168.84	-109.84	52167	52711	6796	69747	71650	71650	
399	-199.84	-109.84	52167	52711	6945	69747	71650	71650	
400	-199.84	-109.84	52167	52711	7371	69747	71650	71650	
401	-199.84	-109.84	52167	52711	7801	69747	71650	71650	
402	-199.84	-109.84	52167	52711	8191	69747	71650	71650	
403	-166.84	-109.84	52167	52711	8675	69747	71650	71650	
404	-166.84	-109.84	52167	52711	9186	69747	71650	71650	
405	-166.84	-109.84	52167	52711	9840	69747	71650	71650	
406	-204.84	-109.84	52167	52711	10297	69747	71650	71650	
407	-204.84	-109.84	52167	52711	10808	69747	71650	71650	
408	-171.84	-109.84	52167	52711	11414	69747	71650	71650	
409	-171.84	-109.84	52167	52711	11995	69747	71650	71650	
410	-171.84	-109.84	52167	52711	12500	69747	71650	71650	
411	-162.84	-109.84	52167	52711	12968	69747	71650	71650	
412	-162.84	-109.84	52167	52711	13600	69747	71650	71650	
